Subject,Start date,Start time,End date,End time,Description,Location,All Day Event,Private
"ECE353","01/09/2017","09:00:00","01/09/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/09/2017","15:00:00","01/09/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","01/09/2017","11:00:00","01/09/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","01/09/2017","16:00:00","01/09/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","01/10/2017","09:00:00","01/10/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","01/10/2017","12:00:00","01/10/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","01/10/2017","16:00:00","01/10/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","01/11/2017","09:00:00","01/11/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/11/2017","15:00:00","01/11/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","01/11/2017","11:00:00","01/11/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","01/11/2017","17:00:00","01/11/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","01/11/2017","11:00:00","01/11/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","01/12/2017","15:00:00","01/12/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","01/12/2017","18:00:00","01/12/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","01/12/2017","12:00:00","01/12/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","01/12/2017","13:00:00","01/12/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","01/13/2017","11:00:00","01/13/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/13/2017","15:00:00","01/13/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","01/13/2017","11:00:00","01/13/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","01/16/2017","09:00:00","01/16/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/16/2017","15:00:00","01/16/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","01/16/2017","11:00:00","01/16/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","01/16/2017","16:00:00","01/16/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","01/17/2017","09:00:00","01/17/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","01/17/2017","12:00:00","01/17/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","01/17/2017","16:00:00","01/17/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","01/18/2017","09:00:00","01/18/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/18/2017","15:00:00","01/18/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","01/18/2017","11:00:00","01/18/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","01/18/2017","17:00:00","01/18/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","01/18/2017","11:00:00","01/18/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","01/19/2017","15:00:00","01/19/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","01/19/2017","18:00:00","01/19/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","01/19/2017","12:00:00","01/19/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
"AER372","01/19/2017","13:00:00","01/19/2017","14:00:00","TUT0101","BA1170","FALSE","FALSE
"
"ECE353","01/20/2017","11:00:00","01/20/2017","12:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/20/2017","15:00:00","01/20/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","01/20/2017","11:00:00","01/20/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"ECE353","01/23/2017","09:00:00","01/23/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/23/2017","15:00:00","01/23/2017","16:00:00","LEC2201","KP108","FALSE","FALSE
"
"CSC373","01/23/2017","11:00:00","01/23/2017","12:00:00","LEC0101","RW110","FALSE","FALSE
"
"CSC373","01/23/2017","16:00:00","01/23/2017","17:00:00","TUT0101","","FALSE","FALSE
"
"AER372","01/24/2017","09:00:00","01/24/2017","12:00:00","PRA0102","MC402/BA3114","FALSE","FALSE
"
"MIE346","01/24/2017","12:00:00","01/24/2017","15:00:00","PRA0105","MC402 ","FALSE","FALSE
"
"MIE346","01/24/2017","16:00:00","01/24/2017","18:00:00","LEC0101","PB B150","FALSE","FALSE
"
"ECE353","01/25/2017","09:00:00","01/25/2017","10:00:00","LEC0101","RS310","FALSE","FALSE
"
"CSC384","01/25/2017","15:00:00","01/25/2017","16:00:00","LEC2201","WB116","FALSE","FALSE
"
"AER372","01/25/2017","11:00:00","01/25/2017","13:00:00","LEC0101","BA1190","FALSE","FALSE
"
"ESC301","01/25/2017","17:00:00","01/25/2017","18:00:00","LEC0101","","FALSE","FALSE
"
"CSC373","01/25/2017","11:00:00","01/25/2017","12:00:00","LEC0101","KP108","FALSE","FALSE
"
"ECE353","01/26/2017","15:00:00","01/26/2017","18:00:00","PRA0101","SF1012","FALSE","FALSE
"
"CSC411","01/26/2017","18:00:00","01/26/2017","21:00:00","LEC2501","KP108","FALSE","FALSE
"
"AER372","01/26/2017","12:00:00","01/26/2017","13:00:00","LEC0101","BA1170","FALSE","FALSE
"
